gloss,freq
'gators,1
a,8071
a_herm,1
a_sistance,1
a_woo,1
a-quiver,1
aa,1
aaaaaaaaaaargh,1
aaaaaaaaaah,1
aaaaaaaaaarggggggg,4
aaaaaaaarrrrggghhh,3
aaaaaaarrgghh,1
aaaaaaarrrrgggghhhhhhh,1
aaaaaaggggghhhhh,2
aaaaaaggggghhhhhh,1
aaaaaaggggghhhhhhh,1
aaaaages,1
aaaaaggggghhhhh,1
aaaaah,1
aaaaallll,1
aaaagggghhhh,1
aaaaggghh,2
aaaagh,1
aaaah,1
aaaahh,2
aaaahhbh,1
aaaargghhhhh,1
aaaargghhhhhy,1
aaaarrgghhh,1
aaaarrgh,1
aaaarrrgh,2
aaaarrrrgggghhhhhh,1
aaaarrrrgghh,1
aaaarrrrgghhh,1
aaaarrrrgghhhhhh,1
aaaeeeee,1
aaagaaain,1
aaagggghhh,1
aaaggghhhh,1
aaagh,1
aaahhh,1
aaargh,2
aaarrgghh,1
aaarrrrgggh,1
aaarrrrggghh,1
aaarrrrrrr,1
aaeeee,1
aagghh,1
aah,1
aardvark,1
aardwolf,1
aarrgh,1
aback,1
abandoned,1
abc,2
abcdefghijklm,1
abcs,1
abel,2
ability,1
able,50
ablutophobia,1
aboard,6
aboooout,1
about,788
above,55
abracadabra,3
Abraham_Lincoln,1
abruptly,1
absent,1
absolootly,1
absolute,4
absolutely,51
absorbed,1
abstraction,1
absurd,5
absurdity,1
academy,1
accept,8
acceptable,1
accepted,3
accessory,1
accident,8
accidentally,6
accompanied,1
accomplished,2
accord,1
according,1
accordion,1
account,1
accurate,2
accuse,5
ache,7
ached,3
aches,2
aching,1
achooo,1
acid,9
acorn,4
acorns,1
acquisition,1
acre,3
acres,13
acrobat,4
acrobatic,1
acrobats,2
across,141
act,4
acted,1
acting,3
action,10
activity,5
acts,2
actual,7
actually,61
Ada,2
Ada_Dupré,9
adaptability,1
add,17
added,45
adding,1
addition,1
addled,1
address,6
addressed,1
addresses,1
adds,1
adjacent,1
adjective,1
adjoining,2
adjusted,1
adjustments,1
Adle_Geras,1
admirable,1
admiration,1
admire,3
admired,8
admires,1
admiring,3
admit,3
admits,1
admitted,6
admittedly,1
Adnrew,4
Adnrew's,1
adorable,1
adore,2
adored,3
adult,3
adults,5
advance,1
advanced,3
advances,1
advantage,1
advent,1
adventure,12
adventures,5
advert,1
advertisement,3
adverts,2
advice,2
advised,1
aerioplanes,1
aerobic,5
aerobics,1
aeroplane,3
aeroplanes,1
aerosol,3
aerosols,3
afar,1
affecting,1
affectionately,1
affections,1
afflicted,1
afield,1
aflame,1
afraid,58
Africa,8
african,4
after,342
afternoon,42
afterwards,5
again,387
against,67
age,10
aged,3
agency,2
agent's,1
ages,10
aghast,2
agitated,1
aglow,1
Agnes,1
ago,37
agog,1
agonizing,1
agree,7
agreed,29
agrees,1
ah,82
aha,1
ahahaughhhhhhh,1
ahead,30
ahem,3
ahh,1
ahhhhh,1
ahhhhhhhh,2
ahhhhhhhhhhhh,2
ahoy,2
aid,2
aigo,1
Ailsa,3
aim,3
aimed,4
aiming,4
air,140
airier,1
airline,1
aisle,8
aisles,1
ajar,2
ak,2
Al,4
Al's,2
alack,1
aladocious,2
alarm,2
alarmed,5
alarming,2
Albert_Einstein,1
Albert's,1
album,2
aldermen,1
ale,1
Alf_Proysen,1
Alf_Prøysen,1
alfalfa,1
algae,1
algebra,1
alien,15
aliens,7
alight,3
aliiien,1
alike,6
Alison_Uttley,1
alive,28
all,1690
all's,2
allergic,2
alligator,21
alligator's,1
alligators,4
alllll,1
alllllllreadyyyyy,2
allow,7
allowance,1
allowed,36
allowing,4
allspice,1
Alma,1
almighty,2
almond,1
almonds,2
almost,71
alone,68
along,157
alongside,5
aloud,11
alpaca,1
alpes,1
alphabet,1
alphabetize,1
already,66
alreadyyyyy,1
alright,2
also,69
alterations,1
although,28
altogether,9
Alun,1
always,193
am,227
ama_a_a_zing,1
amazed,7
amazement,7
amazes,1
amazing,25
amber,2
ambidextrous,1
ambition,2
ambled,6
ambling,1
ambulance,3
Amelia,7
Amelia_Upscotch,1
America,2
american,2
American,1
amidst,2
amiss,1
among,30
amount,4
amounts,2
amplified,1
amulets,1
amused,4
amusing,2
an,548
Ananse,6
Ananse's,4
anchor,1
anchovies,3
ancient,12
and,10198
Andrew,14
Andrew_Matthews,3
anemone,2
angel,4
Angela,5
Angela's,3
angelica,1
angels,1
anger,3
angrier,3
angrily,6
angry,43
anguish,2
animal,25
animal's,1
animals,97
anise,1
Anita_Hewitt,2
ankle,7
ankles,7
anklet,2
Ann,6
Ann_Cameron,1
Ann_Mcdonagh_Bengtsson,1
Anna,12
Anne_Gatti,1
Annette_Elizabeth_Clark,2
announce,5
announced,20
announcement,3
announcements,4
announcer,2
annoy,3
annoyance,3
annoyed,7
annoying,5
annual,4
